#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_atua;Atua;Atua;Atua;;Atua;;;;;;;;;x
c_atua_adj;Atuan;;ater;;;;;;;;;;;x
c_faaseleaga;Fa'aseleaga;Fa'aseleaga;Fa'aseleaga;;Fa'aseleaga;;;;;;;;;x
c_faaseleaga_adj;Fa'aseleagan;;fa'aseleager;;;;;;;;;;;x
c_futuna;Futuna;Futuna;Futuna;;Futuna;;;;;;;;;x
c_futuna_adj;Futunan;;futuner;;;;;;;;;;;x
c_haapai;Ha'apai;Ha'apai;Ha'apai;;Ha'apai;;;;;;;;;x
c_haapai_adj;Ha'apian;;ha'aper;;;;;;;;;;;x
c_niua;Niua;Niua;Niua;;Niua;;;;;;;;;x
c_niua_adj;Niuan;;ner;;;;;;;;;;;x
c_niue;Niue;Niue;Niue;;Niue;;;;;;;;;x
c_niue_adj;Niuean;;ner;;;;;;;;;;;x
c_palauli;Palauli;Palauli;Palauli;;Palauli;;;;;;;;;x
c_palauli_adj;Palaulian;;palauler;;;;;;;;;;;x
c_rawaki;Rawaki;Rawaki;Rawaki;;Rawaki;;;;;;;;;x
c_rawaki_adj;Rawakian;;rawaker;;;;;;;;;;;x
c_tokelau;Tokelau;Tokelau;Tokelau;;Tokelau;;;;;;;;;x
c_tokelau_adj;Tokelian;;tokeler;;;;;;;;;;;x
c_tongatapu;Tongatapu;Tongatapu;Tongatapu;;Tongatapu;;;;;;;;;x
c_tongatapu_adj;Tongatapian;;tongataper;;;;;;;;;;;x
c_tuamasaga;Tuamasaga;Tuamasaga;Tuamasaga;;Tuamasaga;;;;;;;;;x
c_tuamasaga_adj;Tuamasagan;;tuamasager;;;;;;;;;;;x
c_tutuila;Tutuila;Tutuila;Tutuila;;Tutuila;;;;;;;;;x
c_tutuila_adj;Tutuilan;;tutuiler;;;;;;;;;;;x
c_tuvalu;Tuvalu;Tuvalu;Tuvalu;;Tuvalu;;;;;;;;;x
c_tuvalu_adj;Tuvalian;;tuvaler;;;;;;;;;;;x
c_uvea;Uvea;Uvea;Uvea;;Uvea;;;;;;;;;x
c_uvea_adj;Uvean;;uver;;;;;;;;;;;x
c_vavau;Vava'u;Vava'u;Vava'u;;Vava'u;;;;;;;;;x
c_vavau_adj;Vava'ian;;vava'er;;;;;;;;;;;x
